/usr/local/miniconda3/lib/python3.8/site-packages/diffusers/models/lora.py:208: FutureWarning: `LoRALinearLayer` is deprecated and will be removed in version 1.0.0. Use of `LoRALinearLayer` is deprecated. Please switch to PEFT backend by installing PEFT: `pip install peft`.
  deprecate("LoRALinearLayer", "1.0.0", deprecation_message)
Successfully loaded weights from checkpoint /hy-tmp/models/IP-Adapter/sdxl_models/ip-adapter-plus_sdxl_vit-h.bin
len train_dataset:  2125
/usr/local/miniconda3/lib/python3.8/site-packages/diffusers/configuration_utils.py:140: FutureWarning: Accessing config attribute `num_train_timesteps` directly via 'DDPMScheduler' object attribute is deprecated. Please access 'num_train_timesteps' over 'DDPMScheduler's config object instead, e.g. 'scheduler.config.num_train_timesteps'.
  deprecate("direct config name access", "1.0.0", deprecation_message, standard_warn=False)
Epoch 0, global_step 0, time: 0.5513171516358852s, step_loss: 0.07528425008058548
Epoch 0, global_step 1, time: 0.4431968368589878s, step_loss: 0.36084049940109253
Epoch 0, global_step 2, time: 0.4536767229437828s, step_loss: 0.1436680108308792
Epoch 0, global_step 3, time: 0.45928172394633293s, step_loss: 0.3368297219276428
Epoch 0, global_step 4, time: 0.4481768421828747s, step_loss: 0.010166765190660954
Epoch 0, global_step 5, time: 0.44692857563495636s, step_loss: 0.003970148041844368
Epoch 0, global_step 6, time: 0.4391659311950207s, step_loss: 0.022386465221643448
Epoch 0, global_step 7, time: 0.43581337109208107s, step_loss: 0.04304156079888344
Epoch 0, global_step 8, time: 0.4462074041366577s, step_loss: 0.0690421611070633
Epoch 0, global_step 9, time: 0.43906961008906364s, step_loss: 0.00462826993316412
Epoch 0, global_step 10, time: 0.44968967884778976s, step_loss: 0.1629687249660492
Epoch 0, global_step 11, time: 0.44680096954107285s, step_loss: 0.19494588673114777
Epoch 0, global_step 12, time: 0.45178724080324173s, step_loss: 0.053924936801195145
Epoch 0, global_step 13, time: 0.4418450891971588s, step_loss: 0.29358890652656555
Epoch 0, global_step 14, time: 0.44672686234116554s, step_loss: 0.08232825994491577
Epoch 0, global_step 15, time: 0.4452451728284359s, step_loss: 0.226119726896286
Epoch 0, global_step 16, time: 0.4376590959727764s, step_loss: 0.018225759267807007
Epoch 0, global_step 17, time: 0.4402456022799015s, step_loss: 0.07065548002719879
Epoch 0, global_step 18, time: 0.447970412671566s, step_loss: 0.620581865310669
Epoch 0, global_step 19, time: 0.45009441301226616s, step_loss: 0.17300909757614136
Epoch 0, global_step 20, time: 0.44666769355535507s, step_loss: 0.011897140182554722
Epoch 0, global_step 21, time: 0.4486525356769562s, step_loss: 0.00629245862364769
Epoch 0, global_step 22, time: 0.4449635408818722s, step_loss: 0.014306597411632538
Epoch 0, global_step 23, time: 0.4458443112671375s, step_loss: 0.004011103883385658
Epoch 0, global_step 24, time: 0.4423838146030903s, step_loss: 0.16778384149074554
Epoch 0, global_step 25, time: 0.4351253882050514s, step_loss: 0.09050963819026947
Epoch 0, global_step 26, time: 0.4537809379398823s, step_loss: 0.01992128975689411
Epoch 0, global_step 27, time: 0.44911548867821693s, step_loss: 0.16989079117774963
Epoch 0, global_step 28, time: 0.4439706467092037s, step_loss: 0.05397240072488785
Epoch 0, global_step 29, time: 0.4511748477816582s, step_loss: 0.04695933312177658
Epoch 0, global_step 30, time: 0.44894056767225266s, step_loss: 0.011224542744457722
Epoch 0, global_step 31, time: 0.44566427543759346s, step_loss: 0.0408022478222847
Epoch 0, global_step 32, time: 0.4509216733276844s, step_loss: 0.1347452998161316
Epoch 0, global_step 33, time: 0.45525405555963516s, step_loss: 0.031893059611320496
Epoch 0, global_step 34, time: 0.45242737606167793s, step_loss: 0.017822589725255966
Epoch 0, global_step 35, time: 0.45501619204878807s, step_loss: 0.22307828068733215
Epoch 0, global_step 36, time: 0.4493703432381153s, step_loss: 0.06217285245656967
Epoch 0, global_step 37, time: 0.4591309204697609s, step_loss: 0.15329740941524506
Epoch 0, global_step 38, time: 0.45087477937340736s, step_loss: 0.01806960068643093
Epoch 0, global_step 39, time: 0.43934366106987s, step_loss: 0.2571249008178711
Epoch 0, global_step 40, time: 0.44686346501111984s, step_loss: 0.011540243402123451
Epoch 0, global_step 41, time: 0.44989289715886116s, step_loss: 0.10460908710956573
Epoch 0, global_step 42, time: 0.44440655037760735s, step_loss: 0.06786995381116867
Epoch 0, global_step 43, time: 0.4428762346506119s, step_loss: 0.10952112078666687
Epoch 0, global_step 44, time: 0.4490370452404022s, step_loss: 0.3034890294075012
Epoch 0, global_step 45, time: 0.45072395354509354s, step_loss: 0.09876856952905655
Epoch 0, global_step 46, time: 0.4452638104557991s, step_loss: 0.29112982749938965
Epoch 0, global_step 47, time: 0.4488363042473793s, step_loss: 0.005384344607591629
Epoch 0, global_step 48, time: 0.444503266364336s, step_loss: 0.047175563871860504
Epoch 0, global_step 49, time: 0.4534498266875744s, step_loss: 0.16265586018562317
Epoch 0, global_step 50, time: 0.4457990676164627s, step_loss: 0.14262504875659943
Epoch 0, global_step 51, time: 0.4423321448266506s, step_loss: 0.15236616134643555
Epoch 0, global_step 52, time: 0.4397609271109104s, step_loss: 0.2723033130168915
Epoch 0, global_step 53, time: 0.44977251067757607s, step_loss: 0.28275009989738464
Epoch 0, global_step 54, time: 0.44202715903520584s, step_loss: 0.019178006798028946
Epoch 0, global_step 55, time: 0.44697578996419907s, step_loss: 0.26865968108177185
Epoch 0, global_step 56, time: 0.4399765469133854s, step_loss: 0.005204534158110619
Epoch 0, global_step 57, time: 0.4428226873278618s, step_loss: 0.01779494620859623
Epoch 0, global_step 58, time: 0.44197866693139076s, step_loss: 0.11357050389051437
Epoch 0, global_step 59, time: 0.4439339376986027s, step_loss: 0.05732927471399307
Epoch 0, global_step 60, time: 0.44521163403987885s, step_loss: 0.031181836500763893
Epoch 0, global_step 61, time: 0.44976381585001945s, step_loss: 0.18374945223331451
Epoch 0, global_step 62, time: 0.44677893817424774s, step_loss: 0.030275480821728706
Epoch 0, global_step 63, time: 0.44534844160079956s, step_loss: 0.03771866112947464
Epoch 0, global_step 64, time: 0.44233645126223564s, step_loss: 0.22729355096817017
Epoch 0, global_step 65, time: 0.4549615643918514s, step_loss: 0.008383553475141525
Epoch 0, global_step 66, time: 0.4552779160439968s, step_loss: 0.19255679845809937
Epoch 0, global_step 67, time: 0.44489290937781334s, step_loss: 0.2647649645805359
Epoch 0, global_step 68, time: 0.44198959320783615s, step_loss: 0.03645602613687515
Epoch 0, global_step 69, time: 0.45624762028455734s, step_loss: 0.16979113221168518
Epoch 0, global_step 70, time: 0.4458816647529602s, step_loss: 0.02547459304332733
Epoch 0, global_step 71, time: 0.4552469328045845s, step_loss: 0.16709905862808228
Epoch 0, global_step 72, time: 0.4410828612744808s, step_loss: 0.020870478823781013
Epoch 0, global_step 73, time: 0.45339126139879227s, step_loss: 0.21611388027668
Epoch 0, global_step 74, time: 0.43819399550557137s, step_loss: 0.10311651229858398
Epoch 0, global_step 75, time: 0.45269569382071495s, step_loss: 0.2542265057563782
Epoch 0, global_step 76, time: 0.4522407688200474s, step_loss: 0.23864060640335083
Epoch 0, global_step 77, time: 0.4488549679517746s, step_loss: 0.016708871349692345
Epoch 0, global_step 78, time: 0.4411494992673397s, step_loss: 0.006202914752066135
Epoch 0, global_step 79, time: 0.44608454778790474s, step_loss: 0.007124400697648525
Epoch 0, global_step 80, time: 0.45294247567653656s, step_loss: 0.3131510019302368
Epoch 0, global_step 81, time: 0.44496284797787666s, step_loss: 0.006706615444272757
Epoch 0, global_step 82, time: 0.44983508065342903s, step_loss: 0.013664547353982925
Epoch 0, global_step 83, time: 0.45703890174627304s, step_loss: 0.11295188963413239
